"","Name","ISO_time","Season","StartLat","StartLon","MaxWind","MinPres","MeanSpeed","TotalDist"
"57","IONE","9/10/55 6:00",1955,15.4,-43.2,105,0,17.0944327078717,5743.7293898449
"58","JANET","9/21/55 18:00",1955,13.2,-54.3,150,0,14.5596026868641,3057.51656424146
"59","KATIE","10/14/55 18:00",1955,11.7,-77.9,100,0,20.6004294585971,2842.8592652864
"60","UNNAMED","8/23/55 6:00",1955,17.7,-80,55,0,22.010682744491,6074.94843747953
"61","ANNA","7/25/56 18:00",1956,20.6,-92.7,70,0,9.7911698244401,411.229132626484
"62","BETSY","8/9/56 6:00",1956,13.5,-47.2,105,0,17.5942324660909,4644.877371048
"63","CARLA","9/5/56 6:00",1956,21,-74.8,45,0,14.5309022723429,2266.8207544855
"64","DORA","9/10/56 6:00",1956,20.5,-91.1,60,0,6.50181619528828,429.119868889026
"65","ETHEL","9/11/56 18:00",1956,22.9,-75,60,0,9.6036800544614,576.220803267684
"66","FLOSSY","9/21/56 6:00",1956,17.4,-87.5,80,0,12.3052721209249,2879.43367629642
"67","GRETA","10/30/56 6:00",1956,17.8,-75.5,120,0,18.6393665360345,3690.59457413483
"68","UNNAMED","6/12/56 0:00",1956,22,-91.5,50,0,11.7991126528435,991.125462838853
"69","AUDREY","6/25/57 6:00",1957,21.6,-93.3,125,0,18.9490346149859,1932.80153072856
"70","BERTHA","8/8/57 18:00",1957,27,-88.9,60,0,9.29718848069682,725.180701494352
"71","CARRIE","9/2/57 6:00",1957,13,-21.7,135,0,12.7355015262774,6953.58383334746
"72","DEBBIE","9/7/57 6:00",1957,23.9,-89.8,35,0,12.7252217255732,687.161973180951
"73","ESTHER","9/16/57 18:00",1957,23,-92.8,45,0,10.5076243917131,756.548956203346
"74","FRIEDA","9/20/57 12:00",1957,31.7,-65.8,70,0,14.6071964863225,2541.65218862012
"75","NOT NAMED","10/6/57 0:00",1957,32.2,-107.5,20,0,6.98824715414335,125.78844877458
"76","UNNAMED","6/8/57 6:00",1957,25.5,-88.5,60,0,20.3595690633096,5985.71330461303
"77","ALMA","6/14/58 6:00",1958,21.1,-94.5,45,0,13.1833988360002,870.104323176014
"78","BECKY","8/8/58 12:00",1958,15.3,-21,50,0,22.4193591549848,5111.61388733654
"79","CLEO","8/11/58 6:00",1958,10.8,-21.6,140,0,21.6924557622682,5726.8083212388
"80","DAISY","8/24/58 12:00",1958,25.2,-73.6,110,0,16.3428136953705,2941.70646516668
"81","ELLA","8/30/58 6:00",1958,13.7,-56.6,100,0,16.4362408101532,3057.14079068849
"82","FIFI","9/4/58 12:00",1958,10.1,-44.8,80,0,11.8823352695302,2423.99639498415
"83","GERDA","9/13/58 12:00",1958,15.1,-62,60,0,17.0608685892698,1023.65211535619
"84","HELENE","9/21/58 6:00",1958,18.5,-51.5,115,0,19.4523640139428,6185.85175643381
"85","ILSA","9/24/58 6:00",1958,17.3,-50.8,115,0,17.14356738576,2571.535107864
"86","JANICE","10/5/58 6:00",1958,19.2,-81.3,80,0,19.6089457347532,3882.57125548114
"87","NOT NAMED","10/6/58 12:00",1958,33.8,-106.2,20,0,0,0
"88","ARLENE","5/28/59 12:00",1959,23.8,-86.6,50,0,10.2766202816836,1356.51387718224
"89","BEULAH","6/15/59 18:00",1959,21.1,-94.7,60,0,4.63571859755733,361.586050609472
"90","CINDY","7/5/59 12:00",1959,29.6,-78.5,65,0,12.5357583954451,2256.43651118012
"91","DEBRA","7/23/59 0:00",1959,26.9,-92.1,75,0,7.21785686416862,952.757106070258
"92","EDITH","8/17/59 18:00",1959,13.7,-56.3,50,0,21.6896025649192,1041.10092311612
"93","FLORA","9/9/59 6:00",1959,16.8,-45.8,65,0,23.5264487256084,2964.33253942666
"94","GRACIE","9/20/59 12:00",1959,19.7,-68.6,120,0,11.2056363139195,3361.69089417585
"95","HANNAH","9/27/59 12:00",1959,26.8,-49.9,110,0,20.7604307492401,5729.87888679028
"96","IRENE","10/6/59 18:00",1959,23.1,-92.3,50,0,12.7293619460455,840.137888439005
"97","JUDITH","10/17/59 12:00",1959,21.2,-85.1,70,0,21.2892360118424,2299.23748927898
"98","UNNAMED","6/18/59 0:00",1959,25.6,-86.7,70,0,29.9672921595143,2876.86004731337
"99","ABBY","7/10/60 0:00",1960,13,-56.2,85,0,15.4246796989219,2591.34618941889
"100","BRENDA","7/28/60 18:00",1960,27,-86,50,0,28.9154974158936,2428.90178293507
"101","CLEO","8/17/60 18:00",1960,24.4,-75.5,80,0,20.0955073940622,1808.5956654656
"102","DONNA","8/29/60 18:00",1960,10.2,-21.5,140,0,17.8658707169419,6646.1039067024
"103","ETHEL","9/14/60 12:00",1960,23.9,-90.6,140,0,11.1289279060258,934.829944106171
"104","FLORENCE","9/17/60 6:00",1960,20.9,-64,40,0,10.2994423601796,2533.66282060417
"105","UNNAMED","6/22/60 6:00",1960,19.2,-93.6,40,0,11.7792985923717,1978.92216351844
"106","ANNA","7/20/61 0:00",1961,11.5,-60.2,100,0,16.5981041648697,1991.77249978436
"107","BETSY","9/2/61 6:00",1961,13.3,-41.7,120,0,18.0084643179254,4430.08222220965
"108","CARLA","9/3/61 12:00",1961,12.5,-77,150,0,15.0600876642194,4608.38682525114
"109","DEBBIE","9/6/61 18:00",1961,15.1,-24.1,105,0,19.9260722545797,4782.25734109912
"110","ESTHER","9/10/61 18:00",1961,11.7,-32.1,125,0,13.651869739989,5488.05163547557
"111","FRANCES","9/30/61 6:00",1961,16,-57,110,0,13.2211682586738,3252.40739163376
"112","GERDA","10/16/61 0:00",1961,17.5,-77,60,0,17.7823582202315,2987.43618099889
"113","HATTIE","10/27/61 12:00",1961,11.6,-81.5,140,0,8.80681417436942,1056.81770092433
"114","INGA","11/5/61 0:00",1961,20.8,-94.7,60,0,4.70998033974949,423.898230577454
"115","IVA","6/12/61 0:00",1961,20.8,-99.3,25,0,0,0
"116","JENNY","11/1/61 12:00",1961,17,-62,70,0,14.1974086965332,2896.27137409278
"117","SIMONE","11/3/61 0:00",1961,17.6,-95.4,25,0,4.8817676324373,87.8718173838714
"118","UNNAMED","9/12/61 12:00",1961,25.8,-78,35,0,21.5471977896203,1809.96461432811
"119","ALMA","8/26/62 12:00",1962,25.3,-79.7,85,0,14.228182305639,2561.07281501501
"120","BECKY","8/27/62 6:00",1962,16,-18.8,35,0,18.7922750355815,2593.33395491024
"121","CELIA","9/12/62 0:00",1962,15.9,-45.9,60,0,12.9590013339292,3110.16032014301
"122","DAISY","9/29/62 6:00",1962,14.5,-48.9,95,0,14.476323453531,3561.17556956862
"123","ELLA","10/14/62 18:00",1962,22.1,-71.4,100,0,15.7586664188823,3403.87194647857
"124","ARLENE","7/31/63 18:00",1963,11,-39.4,90,0,16.1231144515255,4159.76352849359
"125","BEULAH","8/20/63 12:00",1963,13.7,-49.5,105,0,17.4768208357971,3565.2714505026
"126","CINDY","9/16/63 12:00",1963,26.7,-93.7,70,0,5.714656041467,514.31904373203
"127","DEBRA","9/19/63 6:00",1963,14.4,-38.3,65,0,13.4149896477679,1851.26857139197
"128","EDITH","9/23/63 12:00",1963,11,-52,85,0,12.0007764376845,1728.11180702657
"129","FLORA","9/26/63 12:00",1963,8,-33,125,0,15.5956942092826,6456.61740264299
"130","GINNY","10/16/63 12:00",1963,21,-72,95,0,10.4636926544432,3515.80073189293
"131","HELENA","10/25/63 12:00",1963,15.2,-58.9,45,0,5.84524883557383,631.286874241974
"132","UNNAMED","9/10/63 6:00",1963,30.5,-66.4,50,0,23.2988359447167,2935.65332903431
"133","ABBY","8/5/64 18:00",1964,27,-88.1,55,0,8.82941471532705,688.69434779551
"134","BRENDA","8/7/64 18:00",1964,32,-69,45,0,12.0334942201276,938.612549169955
"135","CLEO","8/20/64 18:00",1964,13.1,-44.3,135,0,15.6590368782032,6013.07016123003
"136","DORA","8/28/64 12:00",1964,14,-18,115,0,15.5985124384412,7019.33059729854
"137","ETHEL","9/4/64 6:00",1964,17.7,-35.4,100,0,15.7756164225096,4638.03122821782
"138","FLORENCE","9/5/64 18:00",1964,16.3,-19.7,40,0,14.4437127978362,1646.58325895333
"139","GLADYS","9/13/64 6:00",1964,14.7,-44.3,125,0,12.8117405222376,3689.78127040444
"140","HILDA","9/28/64 12:00",1964,21.2,-80,130,0,9.38646845914295,1689.56432264573
"141","ISBELL","10/8/64 12:00",1964,13,-80,110,0,9.7694909652582,2051.59310270422
"142","UNNAMED","6/2/64 12:00",1964,17.9,-86.1,50,0,24.5851515921945,12538.4273120192
"143","ANNA","8/21/65 6:00",1965,32.4,-51.8,80,0,19.2371925446305,2539.30941589122
"144","BETSY","8/27/65 0:00",1965,10.9,-50.5,135,0,10.7553616405832,4452.71971920143
"145","CAROL","9/16/65 6:00",1965,13.3,-20.1,85,0,12.8961092208046,4874.72928546416
"146","DEBBIE","9/24/65 12:00",1965,17.5,-84.7,45,0,7.43699675225542,1026.30555181125
"147","ELENA","10/12/65 12:00",1965,15.6,-45.5,70,0,19.8824887725971,3220.96318116073
"148","UNNAMED","6/12/65 6:00",1965,16.8,-91.1,45,0,18.1595644986373,2723.93467479559
"149","ALMA","6/4/66 6:00",1966,12.7,-84,110,0,10.1942627791467,2568.95422034497
"150","BECKY","7/1/66 18:00",1966,32.4,-57.8,65,0,19.3354379149865,1044.11364740927
"151","CELIA","7/13/66 12:00",1966,19.1,-59.5,70,0,16.2302684098004,3505.73797651688
"152","DOROTHY","7/22/66 18:00",1966,31,-41,75,0,8.0257112720432,1781.70790239359
"153","ELLA","7/22/66 12:00",1966,10,-35,45,0,15.6215790991515,2436.96633946763
"154","FAITH","8/21/66 0:00",1966,12.9,-20.5,110,0,20.0018157067231,8040.72991410271
"155","GRETA","9/1/66 12:00",1966,13.7,-48.4,50,0,11.8725137671755,1852.11214767938
"156","HALLIE","9/20/66 12:00",1966,21.5,-95.4,45,0,3.56875412996928,149.88767345871
"157","INEZ","9/21/66 12:00",1966,9.9,-35.1,130,0,10.2110894118828,4901.32291770375
"158","JUDITH","9/27/66 0:00",1966,10.8,-43.2,45,0,15.3556413089791,1382.00771780812
"159","LOIS","11/4/66 12:00",1966,26.5,-50,70,0,15.4002305485739,3603.6539483663
"160","ARLENE","8/28/67 18:00",1967,15.8,-35.8,75,0,17.213676829958,2995.17976841269
"161","BEULAH","9/5/67 12:00",1967,14,-57,140,0,7.87942319729799,3309.35774286516
"162","CHLOE","9/5/67 0:00",1967,15.4,-20.3,95,0,15.3520857995735,6171.53849142855
"163","DORIA","9/8/67 0:00",1967,28.5,-77.5,75,0,8.45197776264111,2789.15266167156
"164","EDITH","9/26/67 12:00",1967,12.5,-47,50,0,10.0521642374198,1266.57269391489
"165","FERN","10/1/67 18:00",1967,20.3,-93,75,0,6.55644858705394,511.402989790207
"166","GINGER","10/5/67 12:00",1967,17,-18.3,45,0,6.84533624642081,575.008244699348
"167","HEIDI","10/19/67 12:00",1967,20.5,-54,80,0,11.1998954762222,3628.76613429599
"168","UNNAMED","6/10/67 12:00",1967,18,-85,0,0,28.4179840647872,44502.5630454567
"169","ABBY","6/1/68 6:00",1968,17.2,-85.5,65,0,7.16266410966064,2191.77521755616
"170","BRENDA","6/17/68 12:00",1968,24,-80.5,65,0,13.5460320850019,3007.21912287043
"171","CANDY","6/22/68 18:00",1968,20,-96,60,0,23.3658926393639,2102.93033754275
"172","DOLLY","8/10/68 0:00",1968,25,-79,70,0,20.0007128355412,3480.12403338417
"173","EDNA","9/11/68 18:00",1968,12.7,-21.1,55,0,12.6019195064267,2343.95702819537
"174","FRANCES","9/23/68 12:00",1968,26,-74,50,0,13.9513562576514,2511.24412637725
"175","GLADYS","10/13/68 12:00",1968,14,-80.5,75,0,13.9105129633569,2837.74464452481
"176","NAOMI","9/13/68 12:00",1968,28.5,-103.5,25,0,0,0
"177","SUBTROP:SUBTROP 1","9/14/68 12:00",1968,31.5,-73,70,0,11.8833885197725,2709.41258250812
"178","UNNAMED","7/4/68 0:00",1968,27.9,-88.8,30,0,26.3510307332976,15494.406071179
"179","ANNA","7/25/69 6:00",1969,9.2,-27,60,0,22.6118486106683,6240.87021654444
"180","BLANCHE","8/11/69 0:00",1969,28.1,-71.7,75,0,36.5941703325557,2195.65021995334
"181","CAMILLE","8/14/69 18:00",1969,19.4,-82,165,0,17.730759313464,3404.30578818508
"182","DEBBIE","8/14/69 12:00",1969,13,-35.5,105,0,18.4883750638372,4991.86126723604
"183","EVE","8/25/69 0:00",1969,29.5,-78.5,50,0,9.78850805615193,704.772580042939
"184","FRANCELIA","8/29/69 0:00",1969,11.5,-62,100,0,11.8772697057005,1924.11769232348
"185","GERDA","9/6/69 0:00",1969,24.5,-77,110,0,20.6202965664741,2350.71380857805
"186","HOLLY","9/14/69 12:00",1969,11.9,-47.4,75,0,8.75837518828702,1418.8567805025
"187","INGA","9/20/69 12:00",1969,16,-47,100,0,7.07004064846553,4199.60414518853
"188","JENNY","10/1/69 12:00",1969,19,-83.7,40,0,11.2821053512464,1489.23790636452
"189","KARA","10/7/69 12:00",1969,20.5,-68,90,0,16.3196268324689,4700.05252775106
"190","LAURIE","10/17/69 0:00",1969,17.3,-85.1,90,0,7.28083716368917,1834.77096524967
"191","MARTHA","11/21/69 12:00",1969,10.3,-81,80,0,1.48255237450854,142.32502795282
"192","SUBTROP:SUBTROP 1:UNNAMED","9/29/69 6:00",1969,23.5,-85.1,30,0,8.462580107759,558.530287112094
"193","UNNAMED","5/29/69 0:00",1969,12,-82,65,0,28.2441438221157,38129.5941598562
"194","ALMA","5/17/70 18:00",1970,11.5,-79,70,0,10.1289472208498,2370.17364967886
"195","BECKY","7/19/70 0:00",1970,18.5,-83.5,55,0,12.426696178753,1416.64336437784
"196","CELIA","7/31/70 0:00",1970,18.5,-82.5,110,0,12.8533415612949,1850.88118482646
"197","DOROTHY","8/17/70 12:00",1970,11,-41,60,0,15.2087726195086,2281.3158929263
"198","ELLA","9/8/70 12:00",1970,15.3,-83.5,110,0,11.2900416183979,1354.80499420775
"199","FELICE","9/12/70 0:00",1970,25.5,-77.5,60,0,10.9503346101252,1511.14617619728
"200","GRETA","9/26/70 12:00",1970,22.4,-75.4,45,0,8.06990251530885,1694.67952821486
"201","ORLENE","9/9/70 0:00",1970,17,-94,25,0,0,0
"202","UNNAMED","7/27/70 12:00",1970,33,-76.5,90,0,24.614888266553,40762.2549694118
"203","ARLENE","7/4/71 12:00",1971,33.5,-75.5,55,0,18.6514620453777,1678.631584084
"204","BETH","8/10/71 12:00",1971,26.7,-79.9,75,0,11.7157892442481,2038.54732849917
"205","CHLOE","8/18/71 12:00",1971,13,-52.5,55,0,14.2558468980156,2480.51736025472
"206","DORIA","8/20/71 12:00",1971,11.5,-47,55,0,17.9396910301421,3874.97326251068
"207","EDITH","9/5/71 18:00",1971,11.4,-58,140,0,12.980500437274,3972.03313380583
"208","FERN","9/3/71 12:00",1971,27.5,-87.5,80,0,5.10437039123888,1194.4226715499
"209","GINGER","9/6/71 0:00",1971,25.5,-71.5,95,0,6.53606257381411,4627.53230226039
"210","HEIDI","9/11/71 0:00",1971,27.1,-72,55,0,13.6403642773092,1391.31715628554
"211","IRENE:OLIVIA","9/11/71 18:00",1971,11,-48.5,70,0,12.8080990874366,2459.15502478784
"212","JANICE","9/21/71 6:00",1971,11.5,-38.8,55,0,17.3509673452141,1561.58706106927
"213","KRISTY","10/18/71 0:00",1971,25,-58.5,45,0,22.7318010953441,2182.25290515304
"214","LAURA","11/12/71 12:00",1971,12,-78.5,60,0,6.36392258193837,1450.97434868195
"215","UNNAMED","7/7/71 12:00",1971,29,-92,75,0,32.5473738395383,31050.1946429196
"216","AGNES","6/14/72 12:00",1972,20,-89,75,0,9.99233059357209,2098.38942465014
"217","ALPHA","5/23/72 18:00",1972,31.2,-78.2,60,0,9.07515039118893,1306.82165633121
"218","BETTY","8/22/72 12:00",1972,36.5,-64,90,0,9.84084637819281,2479.89328730459
"219","CARRIE","8/29/72 12:00",1972,29,-78.5,60,0,10.0916907337855,1755.95418767867
"220","CHARLIE","9/19/72 12:00",1972,37.5,-59.5,60,0,27.6993577035249,1828.15760843264
"221","DAWN","9/5/72 0:00",1972,23.8,-79.4,70,0,10.6088141793203,2482.46251796096
"222","DELTA","11/1/72 18:00",1972,35,-47.5,40,0,6.81860798044818,1022.79119706723
"223","UNNAMED","6/19/72 0:00",1972,27.5,-69,30,0,33.9367434223695,35429.9601329537
"224","ALFA","7/30/73 12:00",1973,32.6,-74.1,40,0,13.0667860555718,862.407879667741
"225","ALICE","7/1/73 18:00",1973,26,-67.8,80,0,14.5811819840059,1924.71602188878
"226","BRENDA","8/18/73 6:00",1973,20.5,-83.7,80,0,7.98243852619723,766.314098514934
"227","CHRISTINE","8/25/73 12:00",1973,11,-14,60,0,14.5022757567764,3654.57349070764
"228","DELIA","9/1/73 18:00",1973,20.5,-86.5,60,0,10.8778626376453,1501.14504399505
"229","ELLEN","9/14/73 12:00",1973,10.5,-22.4,100,0,21.7887148481439,4837.09469628794
"230","FRAN","10/8/73 18:00",1973,30,-65.8,70,0,29.0932581531196,3491.19097837435
"231","GILDA","10/16/73 6:00",1973,16.3,-82,60,0,11.9215532829874,4005.64190308377
"232","UNNAMED","4/18/73 12:00",1973,24,-65,30,0,35.5973640860232,21785.5868206462
"233","ALMA","8/12/74 12:00",1974,10.5,-43,55,0,23.5806972798473,1839.29438782809
"234","BECKY","8/26/74 12:00",1974,27,-69,100,0,14.1322063156574,2374.21066103044
"235","CARMEN","8/29/74 6:00",1974,16.8,-55.8,130,0,11.5257944859379,3388.58357886575
"236","DOLLY","9/2/74 18:00",1974,27.2,-67.9,45,0,22.0620660291415,1588.46875409819
"237","ELAINE","9/4/74 18:00",1974,14.7,-50.5,60,0,15.441707044986,3520.7092062568
"238","FIFI","9/14/74 12:00",1974,15.3,-65,95,0,12.4598858613501,2018.50150953872
"239","GERTRUDE","9/27/74 12:00",1974,10.7,-45.1,65,0,9.69574199288155,1570.71020284681
"240","SUBTROP:SUBTROP 1","6/24/74 18:00",1974,24,-88,55,0,27.8710665234911,1003.35839484568
"241","SUBTROP:SUBTROP 2","7/16/74 0:00",1974,29,-75,45,0,18.9694714041382,2162.51974007175
"242","SUBTROP:SUBTROP 3","8/10/74 12:00",1974,38,-70,50,0,8.81570689076419,1004.99058554712
"243","SUBTROP:SUBTROP 4","10/4/74 0:00",1974,21,-75.2,45,0,14.2803718164698,1799.3268488752
"244","UNNAMED","6/22/74 12:00",1974,19,-95,30,0,34.859209618917,29072.5808221768
"245","AMY","6/27/75 0:00",1975,27.5,-79,60,981,13.0524212838156,2427.75035878971
"246","BLANCHE","7/24/75 0:00",1975,26,-68.4,75,980,16.1167876556001,1934.01451867201
"247","CAROLINE","8/24/75 12:00",1975,22.4,-69.8,100,963,9.97251732156376,1974.55842966962
"248","DORIS","8/28/75 12:00",1975,33.3,-46.3,95,965,6.8573707732183,1193.18251453998
"249","ELOISE","9/13/75 6:00",1975,17.5,-54.1,110,0,12.5834702244753,3548.53860330204
"250","FAYE","9/18/75 6:00",1975,17.5,-33.5,90,0,16.5700322020992,4573.32888777938
"251","GLADYS","9/22/75 18:00",1975,10.3,-34.8,120,939,19.5377640281719,5392.42287177545
"252","HALLIE","10/24/75 18:00",1975,29.1,-79.3,45,1002,10.0598450851667,845.026987154002
"253","SUBTROP:SUBTROP 2","12/9/75 12:00",1975,41.6,-42.9,60,0,17.1133889406287,1745.56567194413
"254","UNNAMED","6/24/75 12:00",1975,32.5,-52,30,0,35.5576403604901,37335.5223785146
"255","ANNA","7/28/76 18:00",1976,28,-52.3,45,0,14.0369561537419,3116.20426613071
"256","BELLE","8/6/76 6:00",1976,26,-72.8,105,957,12.3978697416056,1338.96993209341
"257","CANDICE","8/18/76 12:00",1976,31.7,-68.2,80,0,13.1751682828863,1976.27524243294
"258","DOTTIE","8/18/76 0:00",1976,26,-84,45,0,9.20459556428941,828.413600786047
"259","EMMY","8/20/76 12:00",1976,14,-48,90,0,13.1992547556965,4910.12276911912
"260","FRANCES","8/27/76 12:00",1976,12.5,-37.5,100,0,15.3112992157166,4134.05078824348
"261","GLORIA","9/26/76 12:00",1976,23,-58,90,970,10.6511492539742,2236.74134333457
"262","HOLLY","10/22/76 18:00",1976,19.1,-55.8,65,0,17.2970093041591,2698.33345144882
"263","NAOMI","10/30/76 12:00",1976,26,-103.2,25,0,0,0
"264","SUBTROP:SUBTROP 1","5/21/76 12:00",1976,24,-89,45,994,17.0361322356645,1839.90228145176
"265","SUBTROP:SUBTROP 3","9/13/76 12:00",1976,28,-81.5,40,1011,7.45422204240598,670.879983816538
"266","UNNAMED","6/7/76 6:00",1976,26.8,-79,30,0,34.992480600162,30863.3678893429
"267","ANITA","8/29/77 12:00",1977,26.9,-88.4,150,926,6.85020500633915,739.822140684628
"268","BABE","9/3/77 6:00",1977,26.8,-86.3,65,0,9.61503714320371,1384.56534862133
"269","CLARA","9/5/77 12:00",1977,32.8,-80,65,993,11.193462537946,1813.34093114726
"270","DOROTHY","9/26/77 18:00",1977,28.5,-71.5,75,980,22.251253554432,2002.61281989888
"271","EVELYN","10/13/77 18:00",1977,26.9,-62.9,70,994,26.91718241706,1615.0309450236
"272","FRIEDA","10/16/77 18:00",1977,17.3,-83.2,50,1005,5.66238293040931,339.742975824559
"273","UNNAMED","6/13/77 12:00",1977,25,-94.5,30,0,54.4118052175031,22200.0165287413
"274","AMELIA","7/30/78 18:00",1978,25.7,-97,45,1005,7.89235577869841,284.124808033143
"275","BESS","8/5/78 12:00",1978,25.3,-90.4,45,1005,7.61344998101491,593.849098519163
"276","CORA","8/7/78 12:00",1978,13,-35,80,980,20.1597067604334,2298.20657068941
"277","DEBRA","8/26/78 12:00",1978,23.4,-88.4,50,0,11.839578007378,994.524552619748
"278","ELLA","8/30/78 0:00",1978,26.2,-59.7,120,956,17.4249003443466,2822.83385578415
"279","FLOSSIE","9/4/78 0:00",1978,12,-39,85,0,16.8172904681319,5045.18714043958
"280","GRETA","9/13/78 18:00",1978,11,-62.5,115,0,13.5613524308037,1952.83475003573
"281","HOPE","9/12/78 0:00",1978,29.8,-80,55,0,18.5005229816248,4329.1223777002
